STATION|STATION_NAME|DATE|EMXP|MXSD|DSNW|TPCP|TSNW|EMXT|EMNT|MMXT|MMNT|MNTM|TWND
COOP:375270|NORTH FOSTER 1 E RI US|201301|100|9|2|225|65|59|-1|368|200|284|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201302|159|26|3|589|320|49|6|359|212|286|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201303|91|6|3|260|113|58|16|438|279|359|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201304|86|0|0|215|0|74|25|584|364|474|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201305|97|0|0|474|0|89|34|704|465|584|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201306|309|0|0|1115|0|89|46|765|574|670|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201307|153|0|0|501|0|92|57|832|669|750|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201308|163|0|0|315|0|83|50|767|586|677|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201309|83|0|0|247|0|89|38|709|504|607|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201310|16|0|0|56|0|77|29|625|428|527|-9999
COOP:375270|NORTH FOSTER 1 E RI US|201311|241|0|0|409|6|67|13|488|300|394|-9999
COOP:377581|TIVERTON RI US|201301|66|3|2|256|58|54|4|359|234|297|-9999
COOP:377581|TIVERTON RI US|201302|175|16|5|636|233|48|14|366|247|307|-9999
COOP:377581|TIVERTON RI US|201303|95|6|4|337|97|64|18|464|295|379|-9999
COOP:377581|TIVERTON RI US|201304|70|0|0|243|0|77|27|607|372|490|-9999
COOP:377581|TIVERTON RI US|201305|114|0|0|440|0|88|36|718|476|597|-9999
COOP:377581|TIVERTON RI US|201306|366|0|0|1179|0|95|49|782|585|684|-9999
COOP:377581|TIVERTON RI US|201307|65|0|0|231|0|98|60|866|685|775|-9999
COOP:377581|TIVERTON RI US|201308|185|0|0|463|0|92|52|812|607|709|-9999
COOP:377581|TIVERTON RI US|201309|126|0|0|257|0|90|41|749|529|639|-9999
COOP:377581|TIVERTON RI US|201310|20|0|0|61|0|80|33|638|451|545|-9999
COOP:377581|TIVERTON RI US|201311|296|0|0|450|0|66|16|471|329|400|-9999
COOP:374266|KINGSTON RI US|201301|68|5|2|222|68|61|-3|415|212|313|1769
COOP:374266|KINGSTON RI US|201302|143|18|4|507|247|49|7|400|222|311|-9999
COOP:374266|KINGSTON RI US|201303|101|0|1|222|36|61|19|472|281|376|2538
COOP:374266|KINGSTON RI US|201304|69|0|0|243|0|79|17|604|363|483|2473
COOP:374266|KINGSTON RI US|201305|111|0|0|413|0|91|31|721|459|590|1813
COOP:374266|KINGSTON RI US|201306|434|0|0|999|0|93|46|794|573|684|-9999
COOP:374266|KINGSTON RI US|201307|39|0|0|193|0|96|54|867|673|770|-9999
COOP:374266|KINGSTON RI US|201308|239|0|0|455|0|88|46|809|577|693|-9999
COOP:374266|KINGSTON RI US|201309|142|0|0|441|0|91|34|752|505|629|-9999
COOP:374266|KINGSTON RI US|201310|62|0|0|102|0|82|23|673|422|548|1452
COOP:374266|KINGSTON RI US|201311|306|0|0|493|0|67|15|533|311|422|2076
COOP:379423|WOONSOCKET RI US|201301|90|5|1|193|48|62|6|400|219|309|-9999
COOP:379423|WOONSOCKET RI US|201302|231|23|3|585|262|57|4|384|220|302|-9999
COOP:379423|WOONSOCKET RI US|201303|69|7|4|250|112|58|19|451|288|370|-9999
COOP:379423|WOONSOCKET RI US|201304|57|0|0|168|0|75|26|605|377|491|-9999
COOP:379423|WOONSOCKET RI US|201305|66|0|0|341|0|90|34|725|474|599|-9999
COOP:379423|WOONSOCKET RI US|201306|436|0|0|1083|0|94|47|794|580|687|-9999
COOP:379423|WOONSOCKET RI US|201307|134|0|0|426|0|97|58|865|686|775|-9999
COOP:379423|WOONSOCKET RI US|201308|238|0|0|313|0|88|46|803|587|695|-9999
COOP:379423|WOONSOCKET RI US|201309|258|0|0|434|0|95|39|749|524|637|-9999
COOP:379423|WOONSOCKET RI US|201310|97|0|0|161|0|80|28|655|420|538|-9999
COOP:379423|WOONSOCKET RI US|201311|188|0|0|422|0|70|13|521|298|410|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201301|62|5|2|193|65|62|4|394|232|313|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201302|139|16|3|503|243|48|13|379|240|310|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201303|110|1|3|294|49|59|20|459|310|385|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201304|54|0|0|168|0|77|26|591|390|490|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201305|70|0|0|302|0|92|38|715|485|600|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201306|323|0|0|1008|0|93|50|786|603|695|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201307|72|0|0|225|0|98|60|864|704|784|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201308|174|0|0|387|0|89|54|800|618|709|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201309|282|0|0|459|0|92|43|737|533|635|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201310|23|0|0|61|0|81|31|653|446|550|-9999
COOP:376698|PROVIDENCE T F GREEN STATE AIRPORT RI US|201311|312|0|0|463|1|70|18|511|325|418|-9999
